inst#,    actual, predicted, error, probability distribution
1,	     1:Low,	     1:Low
2,	     1:Low,	     1:Low
3,	     1:Low,	     1:Low
4,	     1:Low,	     1:Low
5,	     1:Low,	     2:High
6,	     1:Low,	     1:Low
7,	     1:Low,	     1:Low
8,	     1:Low,	     1:Low
9,	     1:Low,	     2:High
10,	     1:Low,	     1:Low
11,	     1:Low,	     1:Low
12,	     1:Low,	     1:Low
13,	     1:Low,	     1:Low
14,	     1:Low,	     1:Low
15,	     1:Low,	     2:High
16,	     1:Low,	     1:Low
17,	     1:Low,	     1:Low
18,	     1:Low,	     1:Low
19,	     1:Low,	     2:High
20,	     1:Low,	     1:Low
21,	     1:Low,	     1:Low
22,	     1:Low,	     2:High
23,	     1:Low,	     1:Low
24,	     1:Low,	     1:Low
25,	     1:Low,	     1:Low
26,	     1:Low,	     1:Low
27,	     1:Low,	     2:High
28,	     1:Low,	     1:Low
29,	     1:Low,	     1:Low
30,	     1:Low,	     1:Low
31,	     1:Low,	     1:Low
32,	     1:Low,	     1:Low
33,	     1:Low,	     1:Low
34,	     1:Low,	     1:Low
35,	     1:Low,	     1:Low
36,	     1:Low,	     1:Low
37,	     1:Low,	     1:Low
38,	     1:Low,	     1:Low
39,	     1:Low,	     1:Low
40,	     1:Low,	     2:High
41,	     1:Low,	     1:Low
42,	     1:Low,	     1:Low
43,	     1:Low,	     1:Low
44,	     1:Low,	     2:High
45,	     1:Low,	     2:High
46,	     1:Low,	     1:Low
47,	     1:Low,	     1:Low
48,	     1:Low,	     1:Low
49,	     1:Low,	     1:Low
50,	     1:Low,	     1:Low
51,	     1:Low,	     2:High
52,	     1:Low,	     1:Low
53,	     1:Low,	     1:Low
54,	     1:Low,	     1:Low
55,	     1:Low,	     1:Low
56,	     1:Low,	     1:Low
57,	     1:Low,	     1:Low
58,	     1:Low,	     1:Low
59,	     1:Low,	     1:Low
60,	     1:Low,	     1:Low
61,	     1:Low,	     1:Low
62,	     1:Low,	     2:High
63,	     1:Low,	     1:Low
64,	     1:Low,	     2:High
65,	     1:Low,	     1:Low
66,	     1:Low,	     1:Low
67,	     1:Low,	     1:Low
68,	     1:Low,	     1:Low
69,	     1:Low,	     1:Low
70,	     1:Low,	     1:Low
71,	     1:Low,	     1:Low
72,	     1:Low,	     1:Low
73,	     1:Low,	     1:Low
74,	     1:Low,	     2:High
75,	     1:Low,	     2:High
76,	     1:Low,	     2:High
77,	     1:Low,	     1:Low
78,	     1:Low,	     1:Low
79,	     1:Low,	     1:Low
80,	     1:Low,	     2:High
81,	     1:Low,	     2:High
82,	     1:Low,	     1:Low
83,	     1:Low,	     1:Low
84,	     1:Low,	     2:High
85,	     1:Low,	     1:Low
86,	     1:Low,	     1:Low
87,	     1:Low,	     2:High
88,	     1:Low,	     1:Low
89,	     1:Low,	     1:Low
90,	     1:Low,	     2:High
91,	     1:Low,	     1:Low
92,	     1:Low,	     1:Low
93,	     1:Low,	     1:Low
94,	     1:Low,	     1:Low
95,	     1:Low,	     1:Low
96,	     1:Low,	     2:High
97,	     1:Low,	     1:Low
98,	     1:Low,	     1:Low
99,	     1:Low,	     1:Low
100,	     1:Low,	     1:Low
101,	     1:Low,	     1:Low
102,	     1:Low,	     1:Low
103,	     1:Low,	     1:Low
104,	     1:Low,	     1:Low
105,	     1:Low,	     1:Low
106,	     1:Low,	     2:High
107,	     1:Low,	     1:Low
108,	     1:Low,	     2:High
109,	     1:Low,	     1:Low
110,	     1:Low,	     2:High
111,	     1:Low,	     1:Low
112,	     1:Low,	     2:High
113,	     1:Low,	     1:Low
114,	     1:Low,	     1:Low
115,	     1:Low,	     1:Low
116,	     1:Low,	     2:High
117,	     1:Low,	     2:High
118,	     1:Low,	     1:Low
119,	     1:Low,	     2:High
120,	     1:Low,	     2:High
121,	     1:Low,	     1:Low
122,	     1:Low,	     1:Low
123,	     1:Low,	     1:Low
124,	     1:Low,	     2:High
125,	     1:Low,	     1:Low
126,	     1:Low,	     1:Low
127,	     1:Low,	     2:High
128,	     1:Low,	     1:Low
129,	     1:Low,	     1:Low
130,	     1:Low,	     2:High
131,	     1:Low,	     1:Low
132,	     1:Low,	     1:Low
133,	     1:Low,	     1:Low
134,	     1:Low,	     1:Low
135,	     1:Low,	     1:Low
136,	     1:Low,	     1:Low
137,	     1:Low,	     2:High
138,	     1:Low,	     1:Low
139,	     1:Low,	     2:High
140,	     1:Low,	     2:High
141,	     1:Low,	     1:Low
142,	     1:Low,	     1:Low
143,	     1:Low,	     1:Low
144,	     1:Low,	     2:High
145,	     1:Low,	     1:Low
146,	     1:Low,	     2:High
147,	     1:Low,	     1:Low
148,	     1:Low,	     1:Low
149,	     1:Low,	     1:Low
150,	     1:Low,	     1:Low
151,	     1:Low,	     1:Low
152,	     1:Low,	     1:Low
153,	     1:Low,	     1:Low
154,	     1:Low,	     1:Low
155,	     1:Low,	     1:Low
156,	     1:Low,	     2:High
157,	     1:Low,	     2:High
158,	     1:Low,	     2:High
159,	     1:Low,	     1:Low
160,	     1:Low,	     1:Low
161,	     1:Low,	     1:Low
162,	     1:Low,	     1:Low
163,	     1:Low,	     2:High
164,	     1:Low,	     2:High
165,	     1:Low,	     1:Low
166,	     1:Low,	     2:High
167,	     1:Low,	     1:Low
